name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),veg_nonveg_type,famous_dish,success_rate,cancellation_rate,latitude,longitude,distance_km
Navya Foods,1,0,3.4,7,Hsr,Quick Bites,North Indian,"North Indian, Fast Food",300.0,Delivery,BTM,Veg,North Indian,0.5795471211694201,0.4204528788305799,12.9716,77.5946,1.1799233423387865
C. K. Mega Hot Food,1,0,3.9,100,Btm,Casual Dining,Chinese,"Chinese, Momos",600.0,Delivery,BTM,Veg,Chinese,0.5300329604344476,0.4699670395655524,12.9716,77.5946,1.1799233423387865
Punjabi Corner,1,0,3.9,202,Bannerghatta Road,Quick Bites,"Paratha, Chicken Curry","North Indian, Chinese",250.0,Delivery,BTM,Veg,Paratha,0.6061593733705118,0.39384062662948816,12.9716,77.5946,1.1799233423387865
Lassi Plaza,1,0,3.700448817952718,0,Hsr,Quick Bites,Desserts,"Desserts, Beverages",100.0,Delivery,BTM,Veg,Desserts,0.5758262100447573,0.4241737899552427,12.9716,77.5946,1.1799233423387865
The Hungers Zone,1,0,3.8,57,Btm,Quick Bites,Fast Food,"Fast Food, Italian, Pizza",300.0,Delivery,BTM,Veg,Fast Food,0.6046865571737542,0.3953134428262458,12.9716,77.5946,1.1799233423387865
Kor Cafe,1,0,3.8,36,Koramangala 1St Block,Quick Bites,Kerala,Kerala,300.0,Delivery,BTM,Veg,Kerala,0.5755761305877658,0.4244238694122342,12.9716,77.5946,1.1799233423387865
Chaitanya Cafe,1,0,3.9,92,Jp Nagar,Quick Bites,"Coffee, Pav Bhaji, Masala Dosa, Vada Sambar","South Indian, North Indian, Fast Food",300.0,Delivery,BTM,Veg,Coffee,0.46701484929221576,0.5329851507077843,12.9716,77.5946,1.1799233423387865
Zaitoon Lassi Cafe,1,0,3.700448817952718,0,Btm,Quick Bites,Cafe,"Cafe, Burger, Sandwich, Beverages",150.0,Delivery,BTM,Veg,Cafe,0.5297849806177019,0.47021501938229815,12.9716,77.5946,1.1799233423387865
HOTEL VKM,1,0,3.700448817952718,0,Btm,Quick Bites,South Indian,South Indian,300.0,Delivery,BTM,Veg,South Indian,0.479770723498244,0.520229276501756,12.9716,77.5946,1.1799233423387865
Samosa Express,1,0,3.1,9,Btm,Quick Bites,Street Food,Street Food,150.0,Delivery,BTM,Veg,Street Food,0.45253012009934346,0.5474698799006565,12.9716,77.5946,1.1799233423387865
Lord of Combos,1,0,3.1,27,Hsr,Delivery,North Indian,North Indian,500.0,Delivery,BTM,Veg,North Indian,0.5119814380424361,0.4880185619575639,12.9716,77.5946,1.1799233423387865
Hyderabad Biryaani House,1,0,4.1,1112,Koramangala 5Th Block,Casual Dining,"Hyderabadi Biryani, Mutton Biryani, Tandoori Chicken, Mutton Fry, Chicken Biryani, Lassi, Crispy Babycorn","Biryani, North Indian, Chinese, Hyderabadi",750.0,Delivery,BTM,Both,Hyderabadi Biryani,0.6225769334287296,0.37742306657127045,12.9716,77.5946,1.1799233423387865
Chicken County Grand,1,0,3.9,320,Bannerghatta Road,Casual Dining,"Chicken Grill, Fish, Shawarma, Rolls, Tandoori Chicken, Biryani, Hyderabadi Chicken","North Indian, Chinese",650.0,Delivery,BTM,Veg,Chicken Grill,0.6256079653731036,0.3743920346268964,12.9716,77.5946,1.1799233423387865
Gyani Da Punjabi Dhaba,1,0,3.9,1189,Btm,Quick Bites,"Lassi, Paratha, Paneer Parantha, Butter Chicken, Punjabi Chicken, Shahi Paneer, Chicken Kolhapuri","North Indian, Chinese",500.0,Delivery,BTM,Veg,Lassi,0.600779473602217,0.39922052639778305,12.9716,77.5946,1.1799233423387865
North Indian Tadka,1,0,3.0,6,Ejipura,Quick Bites,Chinese,"Chinese, North Indian",200.0,Delivery,BTM,Veg,Chinese,0.38519064218005294,0.614809357819947,12.9716,77.5946,1.1799233423387865
Biriyani Bhatti,1,0,3.7,21,Btm,Quick Bites,Chinese,"Chinese, Hyderabadi, North Indian",400.0,Delivery,BTM,Veg,Chinese,0.41183193674360663,0.5881680632563934,12.9716,77.5946,1.1799233423387865
Mug N Bean,1,0,3.9,247,Jayanagar,Cafe,"Maggi, Pasta, Burgers, Grilled Sandwich, Latte, French Fries","Cafe, Continental, Italian, Burger",400.0,Delivery,BTM,Veg,Maggi,0.5743427669813179,0.4256572330186821,12.925,77.5938,5.768672173515686
Refills Eatery And Beverages,1,0,3.8,91,Btm,Delivery,North Indian,"North Indian, South Indian, Chinese",450.0,Delivery,BTM,Veg,North Indian,0.5409255873288294,0.45907441267117055,12.9716,77.5946,1.1799233423387865
King Punjabi Restaurant,0,0,3.8,52,Btm,Quick Bites,North Indian,North Indian,300.0,Delivery,BTM,Veg,North Indian,0.30207951911455605,0.697920480885444,12.9716,77.5946,1.1799233423387865
Oregano Pizzeria,1,0,3.7,53,Koramangala 4Th Block,Cafe,"Margherita Pizza, Cheesy Bites","Cafe, Italian, Pizza",450.0,Delivery,BTM,Veg,Margherita Pizza,0.4534132667949977,0.5465867332050023,12.9716,77.5946,1.1799233423387865
Snack Knack,1,0,3.0,36,Btm,Quick Bites,North Indian,"North Indian, Chinese",200.0,Delivery,BTM,Veg,North Indian,0.4139044743073531,0.5860955256926469,12.9716,77.5946,1.1799233423387865
Ooty Chocolates,1,0,4.1,157,Koramangala 4Th Block,Dessert Parlor,Desserts,Desserts,300.0,Delivery,BTM,Veg,Desserts,0.5805736672016281,0.41942633279837194,12.9716,77.5946,1.1799233423387865
Baba Ka Dhaba,1,0,3.7,195,Btm,Quick Bites,"Paratha, Butter Naan, Thali, Tandoori Roti, Lassi",North Indian,400.0,Delivery,BTM,Veg,Paratha,0.5742694139990079,0.4257305860009921,12.9716,77.5946,1.1799233423387865
Hotel Godavari,1,0,3.9,222,Btm,Casual Dining,Andhra,"Andhra, Chinese, North Indian, Biryani",500.0,Delivery,BTM,Both,Andhra,0.5758883031278287,0.4241116968721713,12.9716,77.5946,1.1799233423387865
Tharavadu,1,0,3.8,84,Hsr,Quick Bites,"Biryani, Fish Curry","Chinese, North Indian, Kerala",400.0,Delivery,BTM,Veg,Biryani,0.6319005106476099,0.3680994893523901,12.9716,77.5946,1.1799233423387865
Onesta,1,1,4.4,9041,Koramangala 4Th Block,"Casual Dining, Cafe","Berryblast, Gourmet Pizza, Mocktails, Ravioli, Bacon Pizza, Pasta, Prawn Pizza","Pizza, Cafe, Italian",600.0,Delivery,BTM,Veg,Berryblast,0.7343592933954489,0.2656407066045511,12.9716,77.5946,1.1799233423387865
New Kabab Plaza,1,0,3.7,135,Btm,Casual Dining,"Shawarma Roll, Chicken Grill, Tandoori Chicken, Chicken Wings, Ghee Rice, Pulpy Grape Juice","North Indian, Chinese",500.0,Delivery,BTM,Veg,Shawarma Roll,0.5839590757815789,0.4160409242184211,12.9716,77.5946,1.1799233423387865
Woody's,1,0,2.6,208,Jp Nagar,Casual Dining,"Curd Rice, Pongal, Coffee, Thali, Noodles, Pav Bhaji, Masala Dosa","Chinese, South Indian, North Indian",650.0,Delivery,BTM,Veg,Curd Rice,0.4060721614910372,0.5939278385089628,12.9716,77.5946,1.1799233423387865
Havmor,1,0,3.8,37,Jayanagar,Dessert Parlor,Ice Cream,"Ice Cream, Desserts",200.0,Delivery,BTM,Veg,Ice Cream,0.5853929143808342,0.4146070856191658,12.925,77.5938,5.768672173515686
Cafe Medley,1,0,4.2,1059,Koramangala 5Th Block,Cafe,"Coffee, Burgers, Pasta, Sandwiches, Mudcake, Chicken Burger, Pizza","Cafe, Continental, Burger",800.0,Delivery,BTM,Veg,Coffee,0.5970490191941373,0.40295098080586267,12.9716,77.5946,1.1799233423387865
Khana Khazana,1,0,3.7,22,Bannerghatta Road,Delivery,North Indian,North Indian,400.0,Delivery,BTM,Veg,North Indian,0.5914761289606892,0.40852387103931076,12.9716,77.5946,1.1799233423387865
Afghani Tandoori Hub,1,0,3.6,14,Btm,Quick Bites,Arabian,"Arabian, Afghan",400.0,Delivery,BTM,Veg,Arabian,0.5400107626320911,0.45998923736790887,12.9716,77.5946,1.1799233423387865
Noodle Panda,1,0,4.3,336,Koramangala 5Th Block,Casual Dining,"Noodles, Momos, Ramen Soup, Bubble Tea, Noodle, Onion Rings, Veg Dim Sums","Chinese, Indonesian, Japanese, Malaysian, Thai, Vietnamese, Momos",800.0,Delivery,BTM,Veg,Noodles,0.5845163439100061,0.41548365608999394,12.9716,77.5946,1.1799233423387865
Biryani Palace,1,0,3.9,459,Hsr,Quick Bites,"Tandoori Chicken, Chicken Boneless Biryani, Hyderabadi Biryani, Lemon Chicken, Mutton Biryani, Raita","Biryani, Hyderabadi, Chinese",600.0,Delivery,BTM,Non-Veg,Tandoori Chicken,0.570079644561945,0.42992035543805496,12.9716,77.5946,1.1799233423387865
Thottathil Restaurant,0,0,3.8,69,Btm,Quick Bites,Kerala,"Kerala, South Indian, Biryani",300.0,Delivery,BTM,Both,Kerala,0.33925200743337314,0.6607479925666269,12.9716,77.5946,1.1799233423387865
Bhojohori Manna,1,0,4.1,1956,Koramangala 6Th Block,Casual Dining,"Fish, Sea Food, Chingri Malai Curry, Mutton Kasha, Jumbo Ilish, Chingri Malaikari, Jumbo Prawns","Bengali, Mughlai",650.0,Delivery,BTM,Veg,Fish,0.6468210848322699,0.35317891516773015,12.9716,77.5946,1.1799233423387865
Tawa Sagara,1,0,3.8,122,Jayanagar,Casual Dining,"Sea Food, Biryani, Fish Thali, Neer Dosa, Murgh Ghee Roast","Mangalorean, Seafood",700.0,Delivery,BTM,Non-Veg,Sea Food,0.4931855921890692,0.5068144078109308,12.925,77.5938,5.768672173515686
Pappu Da Dhaba,1,0,3.0,57,Jayanagar,Quick Bites,"Lassi, Chai, Paratha","North Indian, Fast Food, Beverages, Momos",400.0,Delivery,BTM,Veg,Lassi,0.4495483369474472,0.5504516630525528,12.925,77.5938,5.768672173515686
Kulfisthan,1,0,3.4,5,Hsr,Dessert Parlor,Ice Cream,Ice Cream,150.0,Delivery,BTM,Veg,Ice Cream,0.5198544786020483,0.48014552139795175,12.9716,77.5946,1.1799233423387865
Le Centre Jeunesse,1,0,3.700448817952718,0,Bannerghatta Road,Quick Bites,Continental,Continental,400.0,Delivery,BTM,Veg,Continental,0.5392072676037415,0.4607927323962585,12.9716,77.5946,1.1799233423387865
Szechuan Dragon,1,0,3.9,180,Hsr,Delivery,"Salad, Fried Rice Chicken","Chinese, Thai, Momos",600.0,Delivery,BTM,Veg,Salad,0.6330552371243927,0.3669447628756073,12.9716,77.5946,1.1799233423387865
UBQ by Barbeque Nation,1,0,3.5,5,Koramangala 1St Block,Delivery,North Indian,"North Indian, BBQ, Biryani, Kebab",450.0,Delivery,BTM,Both,North Indian,0.5512902546731344,0.4487097453268656,12.9716,77.5946,1.1799233423387865
Aubree Le Chocolatier,1,0,3.700448817952718,0,Koramangala 6Th Block,Dessert Parlor,Desserts,Desserts,300.0,Delivery,BTM,Veg,Desserts,0.5371820624070525,0.46281793759294754,12.9716,77.5946,1.1799233423387865
Mealer.in,1,0,4.2,701,Koramangala 4Th Block,Delivery,"Kheer, Sandwich, Roti, Salad, Rajma, Gulab Jamun, Chole","North Indian, Biryani",450.0,Delivery,BTM,Both,Kheer,0.6233285138102449,0.3766714861897551,12.9716,77.5946,1.1799233423387865
RSS Donne Biryani,1,0,3.3,59,Btm,Quick Bites,Biryani,Biryani,300.0,Delivery,BTM,Non-Veg,Biryani,0.5033348460151646,0.49666515398483535,12.9716,77.5946,1.1799233423387865
Juice Junction Food Court,1,0,3.7,70,Koramangala 6Th Block,"Beverage Shop, Quick Bites","Tea, Chai, Sandwiches, Sandwich","Beverages, Juices, Fast Food",250.0,Delivery,BTM,Veg,Tea,0.5589126037824858,0.44108739621751425,12.9716,77.5946,1.1799233423387865
Panther Cafe,1,0,3.5,8,Btm,Beverage Shop,Beverages,Beverages,200.0,Delivery,BTM,Veg,Beverages,0.4213596857681004,0.5786403142318997,12.9716,77.5946,1.1799233423387865
New Mangalore Lunch Home,1,0,3.7,36,Koramangala 1St Block,Quick Bites,Mangalorean,"Mangalorean, Chinese, North Indian",300.0,Delivery,BTM,Veg,Mangalorean,0.5230653201925213,0.4769346798074787,12.9716,77.5946,1.1799233423387865
Crunch Pizzas,1,0,2.6,54,Hsr,Delivery,Italian,"Italian, Pizza",600.0,Delivery,BTM,Veg,Italian,0.3267404990618116,0.6732595009381884,12.9716,77.5946,1.1799233423387865
Patio 805,1,1,4.1,364,Jayanagar,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese",1200.0,Delivery,BTM,Veg,Noodles,0.6579016899585256,0.3420983100414744,12.925,77.5938,5.768672173515686
Zaitoon,1,1,4.1,1543,Jp Nagar,Casual Dining,"Hummus Falafel, Gulab Jamun, Shawarma, Bbq Chicken, Mojito, Chicken Biryani, Manchow Soup","BBQ, Arabian, Chinese, North Indian, Desserts",1000.0,Delivery,BTM,Veg,Hummus Falafel,0.6119587122127813,0.3880412877872187,12.9716,77.5946,1.1799233423387865
Chatter Platter,1,0,3.4,29,Btm,Quick Bites,Street Food,"Street Food, North Indian",300.0,Delivery,BTM,Veg,Street Food,0.490849825139593,0.509150174860407,12.9716,77.5946,1.1799233423387865
Cookie Man,1,0,4.0,100,Koramangala 7Th Block,Dessert Parlor,"Chocolate Chip Cookie, Brownie Chocolate",Bakery,150.0,Delivery,BTM,Veg,Chocolate Chip Cookie,0.6216221859932968,0.37837781400670323,12.9716,77.5946,1.1799233423387865
Brownie Points,1,0,3.8,25,Koramangala 4Th Block,Bakery,Bakery,"Bakery, Desserts",300.0,Delivery,BTM,Veg,Bakery,0.5715618197204025,0.42843818027959746,12.9716,77.5946,1.1799233423387865
The Chai Stop,1,0,3.700448817952718,0,Koramangala 5Th Block,Quick Bites,Fast Food,"Fast Food, Tea",200.0,Delivery,BTM,Veg,Fast Food,0.4811243765251294,0.5188756234748706,12.9716,77.5946,1.1799233423387865
Ustaad Biryani,1,0,3.2,5,Hsr,Delivery,Biryani,Biryani,500.0,Delivery,BTM,Non-Veg,Biryani,0.47154384784321335,0.5284561521567867,12.9716,77.5946,1.1799233423387865
Soup Station,1,0,3.700448817952718,0,"Itpl Main Road, Whitefield",Quick Bites,Continental,Continental,250.0,Delivery,BTM,Veg,Continental,0.5207977535827706,0.4792022464172294,12.9716,77.5946,1.1799233423387865
Lassi Corner,1,0,3.4,15,Koramangala 5Th Block,Beverage Shop,Beverages,"Beverages, Desserts",300.0,Delivery,BTM,Veg,Beverages,0.4130407034784426,0.5869592965215574,12.9716,77.5946,1.1799233423387865
Biryani Mandra,1,0,3.8,70,Koramangala 1St Block,"Takeaway, Delivery",Seafood,"Seafood, Salad, North Indian, Biryani, Chinese",500.0,Delivery,BTM,Both,Seafood,0.5167338119122843,0.4832661880877157,12.9716,77.5946,1.1799233423387865
Lucknowi Dabba,1,0,3.7,21,Koramangala 1St Block,Delivery,Mughlai,"Mughlai, Chinese, North Indian",300.0,Delivery,BTM,Veg,Mughlai,0.52869727097142,0.47130272902857995,12.9716,77.5946,1.1799233423387865
Melting Melodies,1,0,3.700448817952718,0,Koramangala 1St Block,Bakery,Bakery,"Bakery, Desserts",600.0,Delivery,BTM,Veg,Bakery,0.5318085556694977,0.4681914443305023,12.9716,77.5946,1.1799233423387865
Call A Cake,1,0,3.6,41,Btm,Delivery,Bakery,Bakery,500.0,Delivery,BTM,Veg,Bakery,0.45161917976670496,0.548380820233295,12.9716,77.5946,1.1799233423387865
Qube Cafe,1,0,4.2,166,Koramangala 4Th Block,Cafe,"Pizza, Coffee, Burgers, Pasta, Tiramisu, Sandwiches, Tea","Cafe, Desserts",700.0,Delivery,BTM,Veg,Pizza,0.6605419293424879,0.3394580706575121,12.9716,77.5946,1.1799233423387865
PK Dhaba,1,0,3.700448817952718,0,Marathahalli,Dhaba,North Indian,"North Indian, Fast Food, Beverages",250.0,Delivery,BTM,Veg,North Indian,0.5324509492995179,0.46754905070048214,12.9592,77.6974,10.223739521109682
Rang De Basanthi,1,0,3.7,434,Koramangala 4Th Block,Quick Bites,"Bhindi Fry, Aloo Fry, Sweet Lassi, Paratha, Tawa Roti, Palak Paneer, Butter Chicken","North Indian, South Indian, Chinese",400.0,Delivery,BTM,Veg,Bhindi Fry,0.547112919992724,0.45288708000727596,12.9716,77.5946,1.1799233423387865
The Burger Place,1,0,3.8,26,Koramangala 1St Block,Quick Bites,Burger,"Burger, Continental, Fast Food",400.0,Delivery,BTM,Veg,Burger,0.5704954849588169,0.42950451504118314,12.9716,77.5946,1.1799233423387865
Little Lucknow,1,1,4.0,235,Koramangala 5Th Block,Casual Dining,"Shami Kebab, Kadhai Murgh, Butter Chicken, Chicken Biryani, Mughlai Paratha, Paneer Lababdar, Mughlai Chicken","Mughlai, North Indian",800.0,Delivery,BTM,Veg,Shami Kebab,0.5397846378751586,0.4602153621248414,12.9716,77.5946,1.1799233423387865
Odissi Restaurant,1,0,2.8,62,Btm,Casual Dining,"Egg Tadka, Roti, Veg Thali","Oriya, Bengali",500.0,Delivery,BTM,Veg,Egg Tadka,0.4489228366794485,0.5510771633205516,12.9716,77.5946,1.1799233423387865
1441 Pizzeria,1,0,4.1,129,Jp Nagar,Casual Dining,"Hot Chocolate, Masala Lemonade, Gourmet Pizza, Nutella Pizza, Jalapeno Poppers, Thin Crust Pizza, Wood Fire Pizza","Pizza, Salad",800.0,Delivery,BTM,Veg,Hot Chocolate,0.5714454597142998,0.42855454028570017,12.9716,77.5946,1.1799233423387865
Quench The Juice Lounge,1,0,3.6,18,Jayanagar,Beverage Shop,Beverages,"Beverages, Juices, Ice Cream",150.0,Delivery,BTM,Veg,Beverages,0.48049154045813475,0.5195084595418653,12.925,77.5938,5.768672173515686
Dabba Gosht,1,0,3.5,7,Btm,"Takeaway, Delivery",Arabian,"Arabian, Middle Eastern",400.0,Delivery,BTM,Veg,Arabian,0.5412971370251844,0.45870286297481555,12.9716,77.5946,1.1799233423387865
Calvin's,1,0,3.8,22,Hsr,"Dessert Parlor, Quick Bites",Desserts,Desserts,800.0,Delivery,BTM,Veg,Desserts,0.6249758032062501,0.3750241967937499,12.9716,77.5946,1.1799233423387865
Kababish Restaurant,1,0,3.6,15,Btm,Quick Bites,North Indian,"North Indian, Chinese, Arabian",700.0,Delivery,BTM,Veg,North Indian,0.5615088165830369,0.43849118341696314,12.9716,77.5946,1.1799233423387865
Smoke - The Sizzler House,1,0,3.8,94,Bannerghatta Road,Food Court,"Chicken Sizzler, Garlic Bread, Potato Wedges, Vanilla Ice Cream, Pasta, French Fries","Continental, Chinese, Thai, Italian, BBQ, Steak",1100.0,Delivery,BTM,Veg,Chicken Sizzler,0.5978242584851584,0.4021757415148416,12.9716,77.5946,1.1799233423387865
GrannyzHut,1,0,3.4,8,Hsr,Quick Bites,Bengali,"Bengali, North Indian",350.0,Delivery,BTM,Veg,Bengali,0.4741110552232159,0.525888944776784,12.9716,77.5946,1.1799233423387865
Cafe Noir,1,0,3.700448817952718,0,Koramangala 7Th Block,Casual Dining,European,"European, French, Salad",1500.0,Delivery,BTM,Veg,European,0.45767511578566694,0.5423248842143331,12.9716,77.5946,1.1799233423387865
The Beer Cafe,1,1,4.2,1168,Koramangala 4Th Block,Pub,"Beer, Chilli Chicken, Pizza, Paneer Tikka, Cocktails, Nachos, Mocktails","Finger Food, Chinese, Italian, Burger",1300.0,Delivery,BTM,Veg,Beer,0.6953243665992888,0.30467563340071124,12.9716,77.5946,1.1799233423387865
Attic Lounge,1,1,4.0,1229,Koramangala 4Th Block,Cafe,"Pizza, Pasta, Mocktails, Malai Tikka, Noodles, Chicken Tikka, Onion Rings",Cafe,700.0,Delivery,BTM,Veg,Pizza,0.6996304497934319,0.3003695502065681,12.9716,77.5946,1.1799233423387865
AM WOW,1,0,3.4,6,Jayanagar,Beverage Shop,Beverages,Beverages,100.0,Delivery,BTM,Veg,Beverages,0.5772472778519822,0.42275272214801785,12.925,77.5938,5.768672173515686
Nati Palace,1,0,3.5,11,Jp Nagar,Quick Bites,South Indian,"South Indian, North Indian",200.0,Delivery,BTM,Veg,South Indian,0.4959067581840924,0.5040932418159076,12.9716,77.5946,1.1799233423387865
Eagles Pizza,1,0,3.6,14,Koramangala 7Th Block,Casual Dining,Pizza,"Pizza, Italian",400.0,Delivery,BTM,Veg,Pizza,0.4675178077783868,0.5324821922216132,12.9716,77.5946,1.1799233423387865
Shake The Shake,1,0,3.700448817952718,0,Btm,Beverage Shop,Juices,Juices,200.0,Delivery,BTM,Veg,Juices,0.48427196735311145,0.5157280326468885,12.9716,77.5946,1.1799233423387865
Bistro Claytopia,1,1,4.1,1845,Koramangala 1St Block,Cafe,"Burgers, Cappuccino, Barbeque Burger, Sandwiches, Spinach Pasta, Sandwich, Salads","Cafe, American, Italian, Burger",600.0,Delivery,BTM,Veg,Burgers,0.5361971643949629,0.4638028356050371,12.9716,77.5946,1.1799233423387865
Mr. Parathewala,1,0,3.700448817952718,0,Jayanagar,"Takeaway, Delivery",North Indian,North Indian,300.0,Delivery,BTM,Veg,North Indian,0.5321871713235875,0.4678128286764125,12.925,77.5938,5.768672173515686
Healthy Parathawala,1,0,3.700448817952718,0,Btm,Quick Bites,North Indian,North Indian,200.0,Delivery,BTM,Veg,North Indian,0.6178400001482125,0.3821599998517875,12.9716,77.5946,1.1799233423387865
Veruthe Oru Thattukada,1,0,3.7,27,Btm,Quick Bites,Kerala,"Kerala, South Indian",400.0,Delivery,BTM,Veg,Kerala,0.5308980946421293,0.46910190535787066,12.9716,77.5946,1.1799233423387865
Delicacy,1,0,3.9,519,Koramangala 4Th Block,Casual Dining,"Noodles, Momos, Chicken Manchow Soup, Chicken Noodle, Prawn, Chicken Honey, Thai Rice","Chinese, Thai, Momos",500.0,Delivery,BTM,Veg,Noodles,0.5868663826599994,0.41313361734000065,12.9716,77.5946,1.1799233423387865
My Tea House,1,1,3.700448817952718,0,Banashankari,Casual Dining,Continental,"Continental, Asian, North Indian, Tea",500.0,Delivery,BTM,Veg,Continental,0.6063359504593002,0.3936640495406998,12.9255,77.5468,8.397339338288553
WTF,1,0,4.1,90,Koramangala 5Th Block,Cafe,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake","Cafe, Continental",600.0,Delivery,BTM,Veg,Cheesy Pizza,0.5688993218608515,0.43110067813914854,12.9716,77.5946,1.1799233423387865
Indian Desi Momo,1,0,3.700448817952718,0,Bommanahalli,Takeaway,Momos,Momos,200.0,Delivery,BTM,Veg,Momos,0.6393326750800695,0.3606673249199305,12.9716,77.5946,1.1799233423387865
Flavour of Himalaya,1,0,3.7,24,Koramangala 5Th Block,Quick Bites,Asian,Asian,500.0,Delivery,BTM,Veg,Asian,0.6375324770288651,0.36246752297113494,12.9716,77.5946,1.1799233423387865
Chilld Monk,1,0,3.5,8,Btm,Dessert Parlor,Desserts,"Desserts, Ice Cream",250.0,Delivery,BTM,Veg,Desserts,0.5060870186173066,0.49391298138269335,12.9716,77.5946,1.1799233423387865
Hum Biryani,1,0,3.4,17,Btm,Delivery,Biryani,"Biryani, North Indian",600.0,Delivery,BTM,Both,Biryani,0.47142628109561735,0.5285737189043827,12.9716,77.5946,1.1799233423387865
Ganesh Restaurant,1,0,3.7,51,Koramangala 5Th Block,Quick Bites,Chinese,"Chinese, Street Food",300.0,Delivery,BTM,Veg,Chinese,0.5732708852092495,0.4267291147907505,12.9716,77.5946,1.1799233423387865
Stories,1,1,4.2,2192,Jp Nagar,"Pub, Casual Dining","Cocktails, Pizza, Fries, Pasta, Chicken Sizzler, Mocktails, Long Island Iced Tea","American, Chinese, Continental, North Indian",1200.0,Delivery,BTM,Veg,Cocktails,0.6216921939386959,0.3783078060613041,12.9716,77.5946,1.1799233423387865
Paratha Singh Pakora King,1,0,3.7,36,Koramangala 6Th Block,Quick Bites,Rajasthani,"Rajasthani, North Indian, Street Food",300.0,Delivery,BTM,Veg,Rajasthani,0.48031387412762183,0.5196861258723782,12.9716,77.5946,1.1799233423387865
Eshmeet Da Dhaba,1,0,3.1,120,Koramangala 6Th Block,Casual Dining,"Tandoori Chicken, Butter Chicken, Lassi, Shahi Paneer, Tandoori Roti, Rumali Roti, Biryani","North Indian, Chinese",500.0,Delivery,BTM,Veg,Tandoori Chicken,0.528700715946111,0.471299284053889,12.9716,77.5946,1.1799233423387865
Moolehatti Donne Biryani Mane,1,0,3.6,218,Hsr,Quick Bites,"Mutton Biryani, Chicken Kebab, Donne Biryani","Biryani, Chinese, North Indian, Kebab",400.0,Delivery,BTM,Both,Mutton Biryani,0.5897078256376183,0.41029217436238175,12.9716,77.5946,1.1799233423387865
Ice Stone Creamery,1,0,3.7,42,Jayanagar,Dessert Parlor,Desserts,"Desserts, Ice Cream",400.0,Delivery,BTM,Veg,Desserts,0.5460241543326647,0.4539758456673353,12.925,77.5938,5.768672173515686
Foodiesthan,1,0,3.7,59,Hsr,Cafe,"Masala Chai, Garlic Bread, Oreo Shake","Cafe, Fast Food, North Indian",600.0,Delivery,BTM,Veg,Masala Chai,0.4754083307546558,0.5245916692453443,12.9716,77.5946,1.1799233423387865
Juice Shop,1,0,3.5,22,Btm,"Takeaway, Delivery",Juices,"Juices, Beverages, Ice Cream",150.0,Delivery,BTM,Veg,Juices,0.45141579770529033,0.5485842022947096,12.9716,77.5946,1.1799233423387865
Asia Kitchen By Mainland China,1,1,4.9,2178,Koramangala 5Th Block,"Casual Dining, Bar","Noodles, Chicken Dim Sum, Pad Thai Noodle, Jumbo Prawns, Cocktails, Prawn Sushi, Treasure Soup","Asian, Chinese, Thai, Momos",1500.0,Delivery,BTM,Veg,Noodles,0.7316803807707677,0.2683196192292323,12.9716,77.5946,1.1799233423387865
Hungry Haters,1,0,3.700448817952718,0,Jp Nagar,Takeaway,Chinese,"Chinese, North Indian",300.0,Delivery,BTM,Veg,Chinese,0.5125625505188381,0.48743744948116186,12.9716,77.5946,1.1799233423387865
Howrah Bridge,1,0,3.3,292,Hsr,Casual Dining,"Rasgulla, Egg Devils, Mutton Kosha, Luchi, Chicken Biryani, Aalo Bhaja, Mughlai Paratha","Bengali, Seafood",600.0,Delivery,BTM,Non-Veg,Rasgulla,0.47564972601649375,0.5243502739835062,12.9716,77.5946,1.1799233423387865
Ghee Positive,1,0,3.8,48,Koramangala 8Th Block,Quick Bites,"Paratha, Mutton Curry","North Indian, Chinese",300.0,Delivery,BTM,Veg,Paratha,0.601953671060985,0.39804632893901504,12.9716,77.5946,1.1799233423387865
Sarvam,1,0,3.6,122,Hsr,Casual Dining,"Roti, Paratha, Appam, Chicken Biryani, Kothu Parotta, Elaneer Payasam, Fish Fry","South Indian, Chettinad, Chinese, North Indian, Andhra, Seafood",550.0,Delivery,BTM,Both,Roti,0.5638333955289226,0.43616660447107736,12.9716,77.5946,1.1799233423387865
Roll Over,1,0,4.1,240,Jp Nagar,Dessert Parlor,"Rolls, Ice Cream Roll, Fries, Chocolate Icecreams, Banana Nutella, Chocolate Ball, Waffles","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,Delivery,BTM,Veg,Rolls,0.6606847005648046,0.33931529943519545,12.9716,77.5946,1.1799233423387865
Mockaholic Restro Beer Cafe,1,0,3.9,914,Jp Nagar,Bar,"Beer, Momos, Pizza, Coffee, Dragon Chicken, Hot Pot, Mocktails","North Indian, Chinese, Pizza, BBQ",1000.0,Delivery,BTM,Veg,Beer,0.5292592380706809,0.47074076192931913,12.9716,77.5946,1.1799233423387865
